"","x"
"322",0.477180737847972
"323",0.842785507579407
"324",0.51772055510128
"325",0.516515751933865
"326",-0.502258413440619
"327",-0.908146280356221
"328",1.0796559377051
"329",0.804666923991975
"330",0.798371736326595
"331",0.432103507040246
"332",-0.483881750951947
"333",-0.444522783026457
"334",-0.960106064891902
"335",0.812343268414273
"336",-1.14035690831425
"337",0.454997286211959
"338",0.503242612669875
"339",-0.534098416218341
"340",-0.386606345151719
"341",0.908086898002207
"342",0.424789991888022
"343",0.499117544147703
"344",0.810991062883725
"345",-0.894149930618732
"346",0.580433089605446
"347",-0.535812887993068
"348",0.816918073698338
"349",1.02819994127355
"350",-0.460647101593635
"351",-0.911173435912385
"352",0.545964811539303
"353",0.531229372974861
"354",-1.24541970260364
"355",-0.417986594415734
"356",0.924925506248564
"357",-0.463687374841639
"358",-0.396282174196363
"359",-0.507918800441175
"360",-0.901533568529288
"361",0.870387127585418
"362",0.470845365895496
"363",0.485571584830745
"364",1.11640648788829
"365",0.436073256317352
"366",0.573578579832643
"367",0.812471458146149
"368",-0.494189709743892
"369",0.509841211993256
"370",0.591657066099915
"371",-0.967879908366631
"372",-1.15028249264711
"373",-0.435042727977459
"374",0.537122878933873
"375",0.49671607726135
"376",0.532392549344029
"377",0.528012059647512
"378",-0.460647101593635
"379",-0.516708683595181
"380",-0.0246774253808436
"381",0.489817064329926
"382",1.02638894705424
"383",0.824560491581022
"384",-0.407766872115502
"385",-0.942047367047571
"386",-1.20812396583877
"387",0.53245947782366
"388",0.446934074561405
"389",0.550959240715139
"390",0.471730465689885
"391",-0.628008759424186
"392",-0.49342969707458
"393",0.802386358003038
"394",1.09432105909538
"395",0.430490347394631
"396",-0.988225614184465
"397",-1.14722489720664
"398",0.965827303082592
"399",0.824186288197183
"400",0.830068118599899
"401",0.568416708644843
"402",0.827623687285756
"403",-0.460647101593635
"404",-0.939061056363287
"405",-0.461908881661579
"406",0.547314398946096
"407",0.783049261959968
"408",-0.422263135500754
"409",0.464613598720753
"410",0.446353677816822
"411",-0.502258413440619
"412",0.533879370917767
"413",1.04138918171305
"414",0.493398310856531
"415",-0.435787977961293
"416",0.460405248046882
"417",0.560682710300957
"418",-0.154375150811072
"419",0.446934074561405
"420",0.507828493056499
"421",-0.564880119630058
"422",0.464613598720753
"423",0.478104278825105
"424",-0.475335519084081
"425",0.492617322670389
"426",-0.50906011464454
"427",0.823374818716554
"428",0.577280743236267
"429",0.534440747756723
"430",0.462657779489234
"431",0.479975278041229
"432",-0.381217205757121
"433",0.562925977703043
"434",-0.500720786724829
"435",0.8112327282228
"436",0.581914607524894
"437",0.492366426839129
"438",0.812987319381685
"439",-0.900238246836297
"440",1.05460907657803
"441",-0.462204016866349
"442",0.531478107557981
"443",0.82130801146088
"444",-0.453969268839914
"445",-0.386930873739281
"446",-0.904248486440984
"447",-0.886828023844466
"448",0.826392590036944
"449",-0.505225429056095
"450",0.574033140425276
"451",-0.510726297446508
"452",0.528313442075391
"453",0.468713263993044
"454",-0.140143439968471
"455",0.568404983833612
"456",-0.944164142994898
"457",-0.51183310478752
"458",-0.388432837798735
"459",-0.956660619400747
"460",-0.142839284089621
"461",0.476557864127199
"462",0.494985483785354
"463",-0.480618757242464
"464",-0.493944489038249
